     7     1    12     9    12     9     0     3    -8.0  -23.526  -49.857   3626.9    610.8    316.6
     1     1    12     9    12     8     0     2    -9.0  -24.085  -49.717   1202.5    806.9    307.5
     2     1    12     9    12     8     0     2    -9.0  -24.290  -50.751   1934.5    738.3    309.5
     3     1    12     9    12     8     0     2    -9.0  -23.788  -50.760   2401.9    705.8    310.7
     4     1    12     9    12     8     0     2    -9.0  -23.350  -50.667   2695.5    691.7    311.1
     5     1    12     9    12     8     0     2    -9.0  -23.179  -50.582   2937.8    675.1    311.9
     6     1    12     9    12     8     0     2    -9.0  -23.206  -50.376   3432.4    634.3    314.4
     7     1    12     9    12     8     0     2    -9.0  -23.506  -50.213   3619.9    613.7    316.5
     1     1    12     9    12     7     0     1   -10.0  -24.058  -50.058   1217.5    807.7    307.4
     2     1    12     9    12     7     0     1   -10.0  -24.307  -51.206   1959.8    739.9    309.7
     3     1    12     9    12     7     0     1   -10.0  -23.763  -51.163   2431.0    707.1    310.8
     4     1    12     9    12     7     0     1   -10.0  -23.290  -51.022   2704.7    694.1    311.1
     5     1    12     9    12     7     0     1   -10.0  -23.107  -50.920   2948.6    677.7    311.8
     6     1    12     9    12     7     0     1   -10.0  -23.146  -50.712   3444.1    636.2    314.4
     7     1    12     9    12     7     0     1   -10.0  -23.488  -50.562   3616.6    615.0    316.5
     1     1    12     9    12     6     0     0   -11.0  -24.020  -50.380   1211.1    807.4    307.7
     2     1    12     9    12     6     0     0   -11.0  -24.315  -51.655   1965.7    746.9    309.6
     3     1    12     9    12     6     0     0   -11.0  -23.733  -51.549   2447.8    715.0    310.7
     4     1    12     9    12     6     0     0   -11.0  -23.225  -51.349   2694.7    699.6    311.1
     5     1    12     9    12     6     0     0   -11.0  -23.031  -51.228   2935.4    682.1    311.9
     6     1    12     9    12     6     0     0   -11.0  -23.083  -51.022   3442.8    639.3    314.3
     7     1    12     9    12     6     0     0   -11.0  -23.469  -50.895   3612.4    616.6    316.6
     1     1    12     9    12     5     0     1   -12.0  -23.985  -50.678   1189.5    810.9    307.9
     2     1    12     9    12     5     0     1   -12.0  -24.320  -52.101   1962.6    754.3    309.6
     3     1    12     9    12     5     0     1   -12.0  -23.709  -51.932   2460.9    723.0    310.5
     4     1    12     9    12     5     0     1   -12.0  -23.167  -51.659   2674.3    705.5    311.0
     5     1    12     9    12     5     0     1   -12.0  -22.959  -51.511   2907.4    687.3    311.7
     6     1    12     9    12     5     0     1   -12.0  -23.019  -51.305   3426.7    643.8    314.0
     7     1    12     9    12     5     0     1   -12.0  -23.449  -51.204   3608.4    620.4    316.4
     1     1    12     9    12     4     0     2   -13.0  -23.964  -50.953   1180.0    812.9    308.0
     2     1    12     9    12     4     0     2   -13.0  -24.311  -52.544   1954.5    759.2    309.6
     3     1    12     9    12     4     0     2   -13.0  -23.687  -52.318   2469.6    723.9    310.6
     4     1    12     9    12     4     0     2   -13.0  -23.122  -51.963   2672.4    707.7    311.0
     5     1    12     9    12     4     0     2   -13.0  -22.899  -51.779   2902.2    688.6    311.8
     6     1    12     9    12     4     0     2   -13.0  -22.962  -51.560   3425.4    645.0    314.0
     7     1    12     9    12     4     0     2   -13.0  -23.432  -51.487   3609.2    624.1    316.3
     1     1    12     9    12     3     0     3   -14.0  -23.951  -51.213   1208.9    816.1    307.9
     2     1    12     9    12     3     0     3   -14.0  -24.282  -52.982   1961.4    762.2    309.6
     3     1    12     9    12     3     0     3   -14.0  -23.657  -52.700   2474.6    724.5    310.7
     4     1    12     9    12     3     0     3   -14.0  -23.089  -52.261   2667.2    710.1    311.0
     5     1    12     9    12     3     0     3   -14.0  -22.853  -52.036   2893.0    690.7    311.8
     6     1    12     9    12     3     0     3   -14.0  -22.914  -51.793   3416.0    646.8    314.0
     7     1    12     9    12     3     0     3   -14.0  -23.425  -51.751   3602.3    628.0    316.2
     1     1    12     9    12     2     0     2   -15.0  -23.942  -51.460   1244.9    820.4    307.8
     2     1    12     9    12     2     0     2   -15.0  -24.237  -53.423   1973.8    767.6    309.6
     3     1    12     9    12     2     0     2   -15.0  -23.619  -53.082   2477.0    725.9    310.7
     4     1    12     9    12     2     0     2   -15.0  -23.064  -52.566   2666.5    712.2    310.9
     5     1    12     9    12     2     0     2   -15.0  -22.816  -52.297   2885.4    693.0    311.7
     6     1    12     9    12     2     0     2   -15.0  -22.873  -52.019   3405.5    649.1    313.8
     7     1    12     9    12     2     0     2   -15.0  -23.425  -52.012   3597.4    632.2    315.7
     1     1    12     9    12     1     0     1   -16.0  -23.941  -51.698   1285.9    823.3    307.6
     2     1    12     9    12     1     0     1   -16.0  -24.178  -53.871   1978.6    775.2    309.5
     3     1    12     9    12     1     0     1   -16.0  -23.574  -53.476   2476.3    729.9    310.7
     4     1    12     9    12     1     0     1   -16.0  -23.039  -52.884   2675.7    713.5    310.9
     5     1    12     9    12     1     0     1   -16.0  -22.785  -52.577   2885.3    694.4    311.7
     6     1    12     9    12     1     0     1   -16.0  -22.839  -52.256   3401.1    650.8    313.7
     7     1    12     9    12     1     0     1   -16.0  -23.429  -52.282   3599.7    632.9    315.6
     1     1    12     9    12     0     0     0   -17.0  -23.949  -51.928   1326.1    825.7    307.4
     2     1    12     9    12     0     0     0   -17.0  -24.106  -54.331   1972.5    777.9    309.6
     3     1    12     9    12     0     0     0   -17.0  -23.519  -53.885   2467.7    734.4    310.6
     4     1    12     9    12     0     0     0   -17.0  -23.011  -53.214   2689.7    713.3    310.9
     5     1    12     9    12     0     0     0   -17.0  -22.755  -52.874   2896.9    694.7    311.6
     6     1    12     9    12     0     0     0   -17.0  -22.813  -52.510   3405.6    651.7    313.6
     7     1    12     9    12     0     0     0   -17.0  -23.437  -52.560   3614.2    632.7    315.6
     1     1    12     9    11    23     0     1   -18.0  -23.962  -52.171   1368.0    823.9    307.4
     2     1    12     9    11    23     0     1   -18.0  -24.009  -54.806   2042.6    769.3    309.6
     3     1    12     9    11    23     0     1   -18.0  -23.443  -54.312   2477.4    732.5    310.7
     4     1    12     9    11    23     0     1   -18.0  -22.968  -53.566   2667.3    716.0    311.0
     5     1    12     9    11    23     0     1   -18.0  -22.715  -53.195   2880.2    696.5    311.7
     6     1    12     9    11    23     0     1   -18.0  -22.791  -52.790   3373.9    654.6    313.6
     7     1    12     9    11    23     0     1   -18.0  -23.452  -52.848   3604.5    633.3    315.7
     1     1    12     9    11    22     0     2   -19.0  -23.972  -52.457   1453.4    814.5    307.7
     2     1    12     9    11    22     0     2   -19.0  -23.876  -55.288   2116.1    765.1    309.5
     3     1    12     9    11    22     0     2   -19.0  -23.328  -54.764   2500.9    726.6    310.8
     4     1    12     9    11    22     0     2   -19.0  -22.900  -53.942   2651.6    718.2    311.0
     5     1    12     9    11    22     0     2   -19.0  -22.653  -53.547   2873.9    697.9    311.8
     6     1    12     9    11    22     0     2   -19.0  -22.765  -53.106   3347.3    657.5    313.5
     7     1    12     9    11    22     0     2   -19.0  -23.470  -53.155   3595.8    634.9    315.7
     1     1    12     9    11    21     0     3   -20.0  -23.977  -52.791   1534.2    806.3    308.0
     2     1    12     9    11    21     0     3   -20.0  -23.712  -55.758   2195.9    761.6    309.4
     3     1    12     9    11    21     0     3   -20.0  -23.172  -55.242   2541.3    721.2    310.9
     4     1    12     9    11    21     0     3   -20.0  -22.799  -54.347   2651.1    716.1    311.0
     5     1    12     9    11    21     0     3   -20.0  -22.568  -53.920   2883.3    698.3    311.8
     6     1    12     9    11    21     0     3   -20.0  -22.729  -53.452   3323.6    659.9    313.5
     7     1    12     9    11    21     0     3   -20.0  -23.484  -53.480   3586.0    637.5    315.6
     1     1    12     9    11    20     0     2   -21.0  -23.974  -53.160   1606.8    801.8    308.1
     2     1    12     9    11    20     0     2   -21.0  -23.518  -56.205   2261.9    757.4    309.5
     3     1    12     9    11    20     0     2   -21.0  -22.972  -55.710   2576.2    718.3    310.9
     4     1    12     9    11    20     0     2   -21.0  -22.653  -54.786   2667.7    710.8    311.0
     5     1    12     9    11    20     0     2   -21.0  -22.451  -54.308   2902.0    694.7    311.8
     6     1    12     9    11    20     0     2   -21.0  -22.669  -53.815   3304.9    663.0    313.2
     7     1    12     9    11    20     0     2   -21.0  -23.484  -53.826   3572.1    641.3    315.5
     1     1    12     9    11    19     0     1   -22.0  -23.955  -53.544   1671.3    802.0    308.0
     2     1    12     9    11    19     0     1   -22.0  -23.296  -56.633   2309.1    758.1    309.5
     3     1    12     9    11    19     0     1   -22.0  -22.736  -56.142   2607.0    718.8    310.9
     4     1    12     9    11    19     0     1   -22.0  -22.465  -55.223   2649.2    710.8    310.9
     5     1    12     9    11    19     0     1   -22.0  -22.297  -54.708   2894.2    692.0    311.8
     6     1    12     9    11    19     0     1   -22.0  -22.576  -54.186   3296.9    662.9    313.3
     7     1    12     9    11    19     0     1   -22.0  -23.457  -54.187   3552.0    643.3    315.5
     1     1    12     9    11    18     0     0   -23.0  -23.915  -53.929   1721.7    803.7    307.8
     2     1    12     9    11    18     0     0   -23.0  -23.046  -57.055   2348.6    761.0    309.5
     3     1    12     9    11    18     0     0   -23.0  -22.472  -56.553   2654.7    718.5    310.8
     4     1    12     9    11    18     0     0   -23.0  -22.244  -55.637   2651.5    709.5    310.9
     5     1    12     9    11    18     0     0   -23.0  -22.107  -55.112   2868.3    692.3    311.7
     6     1    12     9    11    18     0     0   -23.0  -22.451  -54.563   3290.4    661.4    313.4
     7     1    12     9    11    18     0     0   -23.0  -23.406  -54.552   3534.6    642.6    315.6
     1     1    12     9    11    17     0     1   -24.0  -23.862  -54.317   1769.8    797.5    307.9
     2     1    12     9    11    17     0     1   -24.0  -22.775  -57.459   2377.2    757.9    309.5
     3     1    12     9    11    17     0     1   -24.0  -22.183  -56.943   2694.1    718.0    310.8
     4     1    12     9    11    17     0     1   -24.0  -22.004  -56.011   2682.9    700.9    311.0
     5     1    12     9    11    17     0     1   -24.0  -21.896  -55.490   2851.1    693.3    311.5
     6     1    12     9    11    17     0     1   -24.0  -22.307  -54.926   3286.6    659.6    313.5
     7     1    12     9    11    17     0     1   -24.0  -23.343  -54.897   3527.8    640.6    315.9
     1     1    12     9    11    16     0     2   -25.0  -23.807  -54.706   1818.7    790.3    308.1
     2     1    12     9    11    16     0     2   -25.0  -22.499  -57.829   2404.9    756.2    309.5
